id,town,address,video,,,
010100001,ГР.БАНСКО,"ГР.БАНСКО, СОУ ""НЕОФИТ РИЛСКИ"", УЛ.""ТОДОР АЛЕКСАНДРОВ"" №9Б",https://evideo.bg/pe202410/01.html#10100001,,,010100001
010100002,ГР.БАНСКО,"ГР.БАНСКО, ПЛТГ""Н.ВАПЦАРОВ"" (ГОРСКИ ТЕХНИКУМ), УЛ.""БЪЛГАРИЯ"" №31",https://evideo.bg/pe202410/01.html#10100002,,,010100002
010100003,ГР.БАНСКО,"ГР.БАНСКО, ПЛТГ""Н.ВАПЦАРОВ"" (ГОРСКИ ТЕХНИКУМ), УЛ.""БЪЛГАРИЯ"" №31",https://evideo.bg/pe202410/01.html#10100003,,,010100003
010100004,ГР.БАНСКО,"ГР.БАНСКО, КЛУБ НА ПЕНСИОНЕРА, УЛ.""ЦАР СИМЕОН"" №54",https://evideo.bg/pe202410/01.html#10100004,,,010100004
010100005,ГР.БАНСКО,"ГР.БАНСКО, ЧИТАЛИЩЕ ""НИКОЛА ВАПЦАРОВ"", ПЛ. ""НИКОЛА ВАПЦАРОВ"" №14",https://evideo.bg/pe202410/01.html#10100005,,,010100005
010100006,ГР.БАНСКО,"ГР.БАНСКО, НАЧАЛНО УЧИЛИЩЕ ""СВ. ПАИСИЙ ХИЛИНДАРСКИ"", ПЛ.""ВЪЗРАЖДАНЕ"" №3",https://evideo.bg/pe202410/01.html#10100006,,,010100006
010100007,ГР.БАНСКО,"ГР.БАНСКО, НАЧАЛНО УЧИЛИЩЕ ""СВ. ПАИСИЙ ХИЛИНДАРСКИ"", ПЛ.""ВЪЗРАЖДАНЕ"" №3",https://evideo.bg/pe202410/01.html#10100007,,,010100007
010100008,ГР.БАНСКО,"ГР.БАНСКО, ПЛТГ""Н.ВАПЦАРОВ"" (ГОРСКИ ТЕХНИКУМ), УЛ.""БЪЛГАРИЯ"" №31",https://evideo.bg/pe202410/01.html#10100008,,,010100008
010100009,ГР.БАНСКО,"ГР.БАНСКО, ПЛТГ""Н.ВАПЦАРОВ"" (ГОРСКИ ТЕХНИКУМ), УЛ.""БЪЛГАРИЯ"" №31",https://evideo.bg/pe202410/01.html#10100009,,,010100009
010100010,ГР.БАНСКО,"ГР.БАНСКО, НАЧАЛНО УЧИЛИЩЕ ""СВ. ПАИСИЙ ХИЛИНДАРСКИ"", ПЛ.""ВЪЗРАЖДАНЕ"" №3",https://evideo.bg/pe202410/01.html#10100010,,,010100010
010100011,ГР.БАНСКО,"ГР.БАНСКО, СОУ ""НЕОФИТ РИЛСКИ"", УЛ. ""ТОДОР АЛЕКСАНДРОВ"" № 9Б",https://evideo.bg/pe202410/01.html#10100011,,,010100011
010100012,ГР.БАНСКО,"ГР.БАНСКО, СОУ ""НЕОФИТ РИЛСКИ"", УЛ. ""ТОДОР АЛЕКСАНДРОВ"" № 9Б",https://evideo.bg/pe202410/01.html#10100012,,,010100012
010100013,ГР.БАНСКО,"ГР.БАНСКО, НАЧАЛНО УЧИЛИЩЕ ""СВ. ПАИСИЙ ХИЛИНДАРСКИ"", ПЛ. ""ВЪЗРАЖДАНЕ"" №3",https://evideo.bg/pe202410/01.html#10100013,,,010100013
010100014,ГР.ДОБРИНИЩЕ,"ГР.ДОБРИНИЩЕ, ЧИТАЛИЩЕ ""ДИМИТЪР БЛАГОЕВ"" , ПЛ. ""НЕЗАВИСИМОСТ"" № 2",https://evideo.bg/pe202410/01.html#10100014,,,010100014
010100015,ГР.ДОБРИНИЩЕ,"ГР.ДОБРИНИЩЕ, ОСНОВНО УЧИЛИЩЕ ""СВ. КЛИМЕНТ ОХРИДСКИ"", УЛ. ""ИВАН ГАЛЧЕВ"" №21",https://evideo.bg/pe202410/01.html#10100015,,,010100015
