id,town,address,video
030100001,С.АВРЕН,"С.АВРЕН, ОУ ""ХРИСТО БОТЕВ"", УЛ.""ЙОРДАН НОЕВ"" №46",https://evideo.bg/pe202410/03.html#030100001
030100002,С.БЕНКОВСКИ,"С.БЕНКОВСКИ, НЧ ""ЗОРА 1 - 1937"", УЛ.""МАРИЦА"" №29А",https://evideo.bg/pe202410/03.html#030100002
030100003,С.БЛИЗНАЦИ,"С.БЛИЗНАЦИ, НЧ ""П.Р. СЛАВЕЙКОВ - 1928"", УЛ.""КАМЧИЯ"" №67",https://evideo.bg/pe202410/03.html#030100003
030100004,С.БОЛЯРЦИ,"С.БОЛЯРЦИ, НЧ ""ХРИСТО БОТЕВ - 1927"", УЛ.""ИЛИНДЕН"" №28",https://evideo.bg/pe202410/03.html#030100004
030100005,С.ДЪБРАВИНО,"С.ДЪБРАВИНО, ОУ ""СВ. КЛИМЕНТ ОХРИДСКИ"", УЛ.""СВЕТИ КЛИМЕНТ"" №12",https://evideo.bg/pe202410/03.html#030100005
030100006,С.ДЪБРАВИНО,"С.ДЪБРАВИНО, МЛАДЕЖКИ ДОМ, УЛ.""КАМЧИЯ"" №22",https://evideo.bg/pe202410/03.html#030100006
030100007,С.ЗДРАВЕЦ,"С.ЗДРАВЕЦ, КЛУБ НА ПЕНСИОНЕРА, УЛ.""СВ. АРХ. МИХАИЛ"" №31",https://evideo.bg/pe202410/03.html#030100007
030100008,С.КАЗАШКА РЕКА,"С.КАЗАШКА РЕКА, НЧ ""ПРОБУДА - 1927"", УЛ.""РИЛА"" №7",https://evideo.bg/pe202410/03.html#030100008
030100009,С.КИТКА,"С.КИТКА, НЧ ""ПРОСВЕТА - 1997"", УЛ.""ЛЮЛЯК"" №32",https://evideo.bg/pe202410/03.html#030100009
030100010,С.КРУША,"С.КРУША, НЧ ""ПРОБУДА 2010"", УЛ.""ПЪРВА"" №16",https://evideo.bg/pe202410/03.html#030100010
030100011,С.ПРИСЕЛЦИ,"С.ПРИСЕЛЦИ, НЧ ""ПРОСВЕТА - 1927"", УЛ.""ЦЕНТРАЛНА"" №27",https://evideo.bg/pe202410/03.html#030100011
030100012,С.РАВНА ГОРА,"С.РАВНА ГОРА, НЧ ""ИСКРА - 1927"", УЛ.""ИСКЪР""№1",https://evideo.bg/pe202410/03.html#030100012
030100013,С.САДОВО,"С.САДОВО, НЧ ""ХРИСТО БОТЕВ - 1925"", УЛ.""ХРИСТО БОТЕВ"" №15",https://evideo.bg/pe202410/03.html#030100013
030100014,С.СИНДЕЛ,"С.СИНДЕЛ, ФОАЙЕ НА НЧ ""Н. Й. ВАПЦАРОВ - 1908"", УЛ.""Н. ВАПЦАРОВ"" №2",https://evideo.bg/pe202410/03.html#030100014
030100015,С.ТРЪСТИКОВО,"С.ТРЪСТИКОВО, КЛУБ НА ПЕНСИОНЕРА, УЛ.""КИРИЛ И МЕТОДИЙ"" №40",https://evideo.bg/pe202410/03.html#030100015
030100016,С.ЦАРЕВЦИ,"С.ЦАРЕВЦИ, КЛУБ НА ПЕНСИОНЕРА, УЛ.""ЛИЛИЯ"" №1",https://evideo.bg/pe202410/03.html#030100016
030100017,С.ЮНАК,"С.ЮНАК, НАРОДНО ЧИТАЛИЩЕ ""ПРОСВЕТА - 1927 Г."", УЛ.""ВАСИЛ ЛЕВСКИ"" №29",https://evideo.bg/pe202410/03.html#030100017
030200001,ГР.АКСАКОВО,"ГР.АКСАКОВО, ЧИТАЛИЩЕ ""ПРОСВЕТА - 1905"", УЛ.""Г.ПЕТЛЕШЕВ""№37А",https://evideo.bg/pe202410/03.html#030200001
030200002,ГР.АКСАКОВО,"ГР.АКСАКОВО, ЗАСЕДАТЕЛНА ЗАЛА НА ОБЩИНСКИ СЪВЕТ, УЛ.""СЛАВИ ДОЙЧЕВ""№6Г, ЕТ.2",https://evideo.bg/pe202410/03.html#030200002
030200003,ГР.АКСАКОВО,"ГР.АКСАКОВО, УЛ.""МИХАИЛ ИВАНОВ""№1",https://evideo.bg/pe202410/03.html#030200003
030200004,ГР.АКСАКОВО,"ГР.АКСАКОВО, УЛ.""МИХАИЛ ИВАНОВ""№1",https://evideo.bg/pe202410/03.html#030200004
030200005,ГР.АКСАКОВО,"ГР.АКСАКОВО, СУ ""СВ.КЛИМЕНТ ОХРИДСКИ"", УЛ.""МИТКО ПАЛАУЗОВ""№27А",https://evideo.bg/pe202410/03.html#030200005
030200006,ГР.АКСАКОВО,"ГР.АКСАКОВО, СУ ""СВ.КЛИМЕНТ ОХРИДСКИ"", УЛ.""МИТКО ПАЛАУЗОВ""№27А",https://evideo.bg/pe202410/03.html#030200006
030200007,ГР.АКСАКОВО,"ГР.АКСАКОВО, АМЦСМП - УЛ.КАП.ПЕТКО ВОЙВОДА"" №7",https://evideo.bg/pe202410/03.html#030200007
