id,town,address,video
050100001,ГР.БЕЛОГРАДЧИК,"ГР.БЕЛОГРАДЧИК, УЛ.""КНЯЗ АЛЕКСАНДЪР БАТЕНБЕРГ"" №6, СОЦИАЛНА ТРАПЕЗАРИЯ",https://evideo.bg/pe202410/05.html#050100001
050100002,ГР.БЕЛОГРАДЧИК,"ГР.БЕЛОГРАДЧИК, УЛ.""ВАСИЛ ЛЕВСКИ"" №4, МЛАДЕЖКИ ДОМ",https://evideo.bg/pe202410/05.html#050100002
050100003,ГР.БЕЛОГРАДЧИК,"ГР.БЕЛОГРАДЧИК, ПЛ.""ВЪЗРАЖДАНЕ"" №1,ЧИТАЛИЩЕ",https://evideo.bg/pe202410/05.html#050100003
050100004,ГР.БЕЛОГРАДЧИК,"ГР.БЕЛОГРАДЧИК, УЛ.""КНЯЗ БОРИС І"" №6",https://evideo.bg/pe202410/05.html#050100004
050100005,ГР.БЕЛОГРАДЧИК,"ГР.БЕЛОГРАДЧИК, УЛ.""КНЯЗ БОРИС I"" №34, ХУДОЖЕСТВЕНА ГАЛЕРИЯ",https://evideo.bg/pe202410/05.html#050100005
050100006,ГР.БЕЛОГРАДЧИК,"ГР.БЕЛОГРАДЧИК, БУЛ.""СЪЕДИНЕНИЕ"" №6, ТЕХНИКУМ ""А.С.ПОПОВ""",https://evideo.bg/pe202410/05.html#050100006
050100007,ГР.БЕЛОГРАДЧИК,"ГР.БЕЛОГРАДЧИК, БУЛ.""СЪЕДИНЕНИЕ"" №6, ТЕХНИКУМ ""А.С.ПОПОВ""",https://evideo.bg/pe202410/05.html#050100007
050100008,ГР.БЕЛОГРАДЧИК,"ГР.БЕЛОГРАДЧИК, БУЛ.""СЪЕДИНЕНИЕ"" №39, ОБЩЕСТВЕНА ТРАПЕЗАРИЯ",https://evideo.bg/pe202410/05.html#050100008
050100009,С.БОРОВИЦА,"С.БОРОВИЦА, КМЕТСТВОТО",https://evideo.bg/pe202410/05.html#050100009
050100010,С.ЧИФЛИК,"С.ЧИФЛИК, С. ЧИФЛИК, КМЕТСТВОТО",https://evideo.bg/pe202410/05.html#050100010
