id,town,address,video
090200001,ГР.АРДИНО,"ГР.АРДИНО, ЧИТАЛИЩЕ ""РОДОПСКА ИСКРА""",https://evideo.bg/pe202410/09.html#090200001
090200002,ГР.АРДИНО,"ГР.АРДИНО, БИВШЕ НАЧАЛНО УЧИЛИЩЕ",https://evideo.bg/pe202410/09.html#090200002
090200003,ГР.АРДИНО,"ГР.АРДИНО, СУ ""ВАСИЛ ЛЕВСКИ""",https://evideo.bg/pe202410/09.html#090200003
090200004,ГР.АРДИНО,"ГР.АРДИНО, ЦДГ ""БРЕЗИЧКА""",https://evideo.bg/pe202410/09.html#090200004
090200005,С.АХРЯНСКО,"С.АХРЯНСКО, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/09.html#090200005
090200006,С.БАШЕВО,"С.БАШЕВО, КМЕТСТВО",https://evideo.bg/pe202410/09.html#090200006
090200007,С.БОГАТИНО,"С.БОГАТИНО, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/09.html#090200007
090200008,С.БОРОВИЦА,"С.БОРОВИЦА, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/09.html#090200008
090200009,С.БРЕЗЕН,"С.БРЕЗЕН, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/09.html#090200009
090200010,С.БЯЛ ИЗВОР,"С.БЯЛ ИЗВОР, МЛАДЕЖКИ ДОМ",https://evideo.bg/pe202410/09.html#090200010
090200011,С.ГОЛОБРАД,"С.ГОЛОБРАД, УЧИЛИЩЕ",https://evideo.bg/pe202410/09.html#090200011
090200012,С.ГОРНО ПРАХОВО,"С.ГОРНО ПРАХОВО, УЧИЛИЩЕ",https://evideo.bg/pe202410/09.html#090200012
090200013,С.ГОРНО ПРАХОВО,"С.ГОРНО ПРАХОВО, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/09.html#090200013
090200014,С.ГЪРБИЩЕ,"С.ГЪРБИЩЕ, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/09.html#090200014
090200015,С.БЯЛ ИЗВОР,"С.БЯЛ ИЗВОР, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/09.html#090200015
090200016,С.ДОЛНО ПРАХОВО,"С.ДОЛНО ПРАХОВО, КМЕТСТВО",https://evideo.bg/pe202410/09.html#090200016
090200017,С.ЧЕРНИГОВО,"С.ЧЕРНИГОВО, ОБЩЕСТВЕНА СГРАДА(БИВШ МАГАЗИН)",https://evideo.bg/pe202410/09.html#090200017
090200018,С.БЯЛ ИЗВОР,"С.БЯЛ ИЗВОР, БИВША ПДГ",https://evideo.bg/pe202410/09.html#090200018
090200019,С.ЕНЬОВЧЕ,"С.ЕНЬОВЧЕ, МАГАЗИН",https://evideo.bg/pe202410/09.html#090200019
