id,town,address,video
100400001,ГР.БОБОВ ДОЛ,"ГР.БОБОВ ДОЛ, ПРОФЕСИОНАЛНА ГИМНАЗИЯ УЛ.""Д.БЛАГОЕВ"" № 30",https://evideo.bg/pe202410/10.html#100400001
100400002,ГР.БОБОВ ДОЛ,"ГР.БОБОВ ДОЛ, ОУ ""НИКОЛА Й. ВАПЦАРОВ"" - УЛ.""Н. Й. ВАПЦАРОВ"" №1",https://evideo.bg/pe202410/10.html#100400002
100400003,ГР.БОБОВ ДОЛ,"ГР.БОБОВ ДОЛ, ПРОФЕСИОНАЛНА ГИМНАЗИЯ УЛ.""Д.БЛАГОЕВ"" № 30",https://evideo.bg/pe202410/10.html#100400003
100400004,ГР.БОБОВ ДОЛ,"ГР.БОБОВ ДОЛ, КУЛТУРЕН ДОМ - УЛ.""В. КОЛАРОВ"" №4",https://evideo.bg/pe202410/10.html#100400004
100400005,ГР.БОБОВ ДОЛ,"ГР.БОБОВ ДОЛ, ОУ ""НИКОЛА Й. ВАПЦАРОВ"" - УЛ.""Н. Й. ВАПЦАРОВ"" №1",https://evideo.bg/pe202410/10.html#100400005
100400006,ГР.БОБОВ ДОЛ,"ГР.БОБОВ ДОЛ, СУ ""ХР. БОТЕВ"" - УЛ.""КИРИЛ И МЕТОДИЙ"" №14",https://evideo.bg/pe202410/10.html#100400006
100400007,ГР.БОБОВ ДОЛ,"ГР.БОБОВ ДОЛ, СУ ""ХР. БОТЕВ"" - УЛ.""КИРИЛ И МЕТОДИЙ"" №14",https://evideo.bg/pe202410/10.html#100400007
100400008,ГР.БОБОВ ДОЛ,"ГР.БОБОВ ДОЛ, ЧИТАЛИЩЕ ""ПРОСВЕТА"" - УЛ.""Г. ДИМИТРОВ"" №72",https://evideo.bg/pe202410/10.html#100400008
100400009,С.МЛАМОЛОВО,"С.МЛАМОЛОВО, ЧИТАЛИЩЕ ""ЗОРА-2001""",https://evideo.bg/pe202410/10.html#100400009
100400010,С.МАЛО СЕЛО,"С.МАЛО СЕЛО, КОМПЛЕКСНА ОБЩЕСТВЕНА СГРАДА",https://evideo.bg/pe202410/10.html#100400010
100400011,С.ГОЛЕМО СЕЛО,"С.ГОЛЕМО СЕЛО, КОМПЛЕКСНА ОБЩЕСТВЕНА СГРАДА",https://evideo.bg/pe202410/10.html#100400011
100400012,С.ДОЛИСТОВО,"С.ДОЛИСТОВО, АДМИНИСТРАТИВНА СГРАДА",https://evideo.bg/pe202410/10.html#100400012
100400013,С.БАБИНСКА РЕКА,"С.БАБИНСКА РЕКА, АДМИНИСТРАТИВНА СГРАДА",https://evideo.bg/pe202410/10.html#100400013
100400014,С.БАБИНО,"С.БАБИНО, КОМПЛЕКСНА ОБЩЕСТВЕНА СГРАДА",https://evideo.bg/pe202410/10.html#100400014
100400015,С.ГОЛЕМА ФУЧА,"С.ГОЛЕМА ФУЧА, КМЕТСТВОТО",https://evideo.bg/pe202410/10.html#100400015
100400016,С.МАЛА ФУЧА,"С.МАЛА ФУЧА, АДМИНИСТРАТИВНА СГРАДА",https://evideo.bg/pe202410/10.html#100400016
100400017,С.КОРКИНА,"С.КОРКИНА, КОМПЛЕКСНА ОБЩЕСТВЕНА СГРАДА",https://evideo.bg/pe202410/10.html#100400017
100400018,С.ГОРНА КОЗНИЦА,"С.ГОРНА КОЗНИЦА, ЧИТАЛИЩЕТО",https://evideo.bg/pe202410/10.html#100400018
100400019,С.НОВОСЕЛЯНЕ,"С.НОВОСЕЛЯНЕ, АДМИНИСТРАТИВНА СГРАДА",https://evideo.bg/pe202410/10.html#100400019
100400020,С.ШАТРОВО,"С.ШАТРОВО, КОМПЛЕКСНА ОБЩЕСТВЕНА СГРАДА",https://evideo.bg/pe202410/10.html#100400020
100400021,С.ПАНИЧАРЕВО,"С.ПАНИЧАРЕВО, КМЕТСТВОТО",https://evideo.bg/pe202410/10.html#100400021
100400022,С.МАЛИ ВЪРБОВНИК,"С.МАЛИ ВЪРБОВНИК, КМЕТСТВОТО",https://evideo.bg/pe202410/10.html#100400022
100400023,С.ГОЛЯМ ВЪРБОВНИК,"С.ГОЛЯМ ВЪРБОВНИК, КОМПЛЕКСНА ОБЩЕСТВЕНА СГРАДА",https://evideo.bg/pe202410/10.html#100400023
100400024,С.БЛАТО,"С.БЛАТО, КОМПЛЕКСНА ОБЩЕСТВЕНА СГРАДА С.БЛАТО",https://evideo.bg/pe202410/10.html#100400024
100500001,ГР.БОБОШЕВО,"ГР.БОБОШЕВО, ЧИТАЛИЩЕ ""ЛОЗА"" - 2 ЕТАЖ, УЛ. ЕДИНСТВО №1",https://evideo.bg/pe202410/10.html#100500001
100500002,ГР.БОБОШЕВО,"ГР.БОБОШЕВО, ЧИТАЛИЩЕ ""ЛОЗА"" -1 ЕТАЖ, УЛ. ЕДИНСТВО №1",https://evideo.bg/pe202410/10.html#100500002
100500003,С.СЛАТИНО,"С.СЛАТИНО, КМЕТСТВОТО",https://evideo.bg/pe202410/10.html#100500003
100500004,С.УСОЙКА,"С.УСОЙКА, ЧИТАЛИЩЕ ""ВАСИЛ ЛЕВСКИ - 1938""",https://evideo.bg/pe202410/10.html#100500004
100500005,С.БЛАЖИЕВО,"С.БЛАЖИЕВО, КМЕТСТВОТО",https://evideo.bg/pe202410/10.html#100500005
100500006,С.ВИСОКА МОГИЛА,"С.ВИСОКА МОГИЛА, КМЕТСТВОТО С. ВИСОКА МОГИЛА",https://evideo.bg/pe202410/10.html#100500006
100500007,С.ВУКОВО,"С.ВУКОВО, КМЕТСТВОТО",https://evideo.bg/pe202410/10.html#100500007
100500008,С.ДОБРОВО,"С.ДОБРОВО, КМЕТСТВОТО",https://evideo.bg/pe202410/10.html#100500008
100500009,С.СКРИНО,"С.СКРИНО, УЧИЛИЩЕТО",https://evideo.bg/pe202410/10.html#100500009
100500010,С.БАДИНО,"С.БАДИНО, КМЕТСТВОТО С. БАДИНО",https://evideo.bg/pe202410/10.html#100500010
102700001,ГР.КОЧЕРИНОВО,"ГР.КОЧЕРИНОВО, СОУ ""ХР. БОТЕВ""",https://evideo.bg/pe202410/10.html#102700001
102700002,ГР.КОЧЕРИНОВО,"ГР.КОЧЕРИНОВО, СОУ ""ХР. БОТЕВ""",https://evideo.bg/pe202410/10.html#102700002
102700003,ГР.КОЧЕРИНОВО,"ГР.КОЧЕРИНОВО, СОУ ""ХР. БОТЕВ""",https://evideo.bg/pe202410/10.html#102700003
