id,town,address,video
120200001,ГР.БЕРКОВИЦА,"ГР.БЕРКОВИЦА, КВ.""БЕГОВИЦА"", ТЪРГОВСКИ ОБЕКТ, УЛ. ""ЕЛИН ПЕЛИН""",https://evideo.bg/pe202410/12.html#120200001
120200002,ГР.БЕРКОВИЦА,"ГР.БЕРКОВИЦА, ЛЕСОТЕХНИЧЕСКА ГИМНАЗИЯ, УЛ.""КАЛЕТО"" №2",https://evideo.bg/pe202410/12.html#120200002
120200003,ГР.БЕРКОВИЦА,"ГР.БЕРКОВИЦА, ЛЕСОТЕХНИЧЕСКА ГИМНАЗИЯ, УЛ.""КАЛЕТО"" №2",https://evideo.bg/pe202410/12.html#120200003
120200004,ГР.БЕРКОВИЦА,"ГР.БЕРКОВИЦА, ПЕНСИОНЕРСКИ КЛУБ, ПЛ.""ЙОРДАН РАДИЧКОВ""",https://evideo.bg/pe202410/12.html#120200004
120200005,ГР.БЕРКОВИЦА,"ГР.БЕРКОВИЦА, ГИМНАЗИЯТА, УЛ.""Д-Р ИВ.ПАНОВ"" № 2",https://evideo.bg/pe202410/12.html#120200005
120200006,ГР.БЕРКОВИЦА,"ГР.БЕРКОВИЦА, ГИМНАЗИЯТА, УЛ. ""Д-Р ИВ.ПАНОВ""№ 2",https://evideo.bg/pe202410/12.html#120200006
120200007,ГР.БЕРКОВИЦА,"ГР.БЕРКОВИЦА, ТРЕТО ОУ, УЛ."" АШИКЛАР"" № 1",https://evideo.bg/pe202410/12.html#120200007
120200008,ГР.БЕРКОВИЦА,"ГР.БЕРКОВИЦА, ПЪРВО ОУ, УЛ."" СТ. СТАМБОЛОВ""",https://evideo.bg/pe202410/12.html#120200008
120200009,ГР.БЕРКОВИЦА,"ГР.БЕРКОВИЦА, ГИМНАЗИЯ, УЛ. ""Д-Р ИВАН ПАНОВ"" №2",https://evideo.bg/pe202410/12.html#120200009
120200010,ГР.БЕРКОВИЦА,"ГР.БЕРКОВИЦА, ВТОРО ОУ, УЛ.""ЕДЕЛВАЙС"" №1",https://evideo.bg/pe202410/12.html#120200010
