id,town,address,video
140800001,ГР.БРЕЗНИК,"ГР.БРЕЗНИК, СУ ""ВАСИЛ ЛЕВСКИ"", УЛ.""АНГЕЛ КОЦЕЛЯНОВ"" №9",https://evideo.bg/pe202410/14.html#140800001
140800002,ГР.БРЕЗНИК,"ГР.БРЕЗНИК, БИВША ПГСС ""Н. ВАПЦАРОВ"", УЛ.""АНДРЕЙ МИХАЙЛОВ"" №75",https://evideo.bg/pe202410/14.html#140800002
140800003,ГР.БРЕЗНИК,"ГР.БРЕЗНИК, БИВШ ДНА, УЛ.""9-ТИ СЕПТЕМВРИ"" №1",https://evideo.bg/pe202410/14.html#140800003
140800004,ГР.БРЕЗНИК,"ГР.БРЕЗНИК, ЧИТАЛИЩЕ ""ПРОСВЕЩЕНИЕ"" , ПЛ.""9-ТИ СЕПТЕМВРИ"" №1",https://evideo.bg/pe202410/14.html#140800004
140800008,С.КРАСАВА,"С.КРАСАВА, СГРАДАТА НА КМЕТСТВОТО С.КРАСАВА",https://evideo.bg/pe202410/14.html#140800008
140800009,С.ГЪРЛО,"С.ГЪРЛО, СГРАДАТА НА КМЕТСТВОТО С.ГЪРЛО",https://evideo.bg/pe202410/14.html#140800009
140800010,С.РЕБРО,"С.РЕБРО, СГРАДАТА НА КМЕТСТВОТО С.РЕБРО",https://evideo.bg/pe202410/14.html#140800010
140800011,С.БРЕЗНИШКИ ИЗВОР,"С.БРЕЗНИШКИ ИЗВОР, СГРАДАТА НА КМЕТСТВОТО С.БР. ИЗВОР",https://evideo.bg/pe202410/14.html#140800011
140800012,С.САДОВИК,"С.САДОВИК, СГРАДАТА НА КМЕТСТВОТО С.САДОВИК",https://evideo.bg/pe202410/14.html#140800012
140800013,С.КОНСКА,"С.КОНСКА, СГРАДАТА НА КМЕТСТВОТО С.КОНСКА",https://evideo.bg/pe202410/14.html#140800013
140800014,С.РЕЖАНЦИ,"С.РЕЖАНЦИ, СГРАДАТА НА КМЕТСТВОТО С.РЕЖАНЦИ",https://evideo.bg/pe202410/14.html#140800014
140800015,С.БЕГУНОВЦИ,"С.БЕГУНОВЦИ, ЧИТАЛИЩЕ С.БЕГУНОВЦИ",https://evideo.bg/pe202410/14.html#140800015
140800016,С.БАНИЩЕ,"С.БАНИЩЕ, СГРАДАТА НА КМЕТСТВОТО С.БАНИЩЕ",https://evideo.bg/pe202410/14.html#140800016
140800017,С.СТАНЬОВЦИ,"С.СТАНЬОВЦИ, СГРАДАТА НА КМЕТСТВОТО С.СТАНЬОВЦИ",https://evideo.bg/pe202410/14.html#140800017
140800018,С.ДОЛНА СЕКИРНА,"С.ДОЛНА СЕКИРНА, СГРАДАТА НА КМЕТСТВОТО С.ДОЛНА СЕКИРНА",https://evideo.bg/pe202410/14.html#140800018
140800019,С.КОШАРЕВО,"С.КОШАРЕВО, СГРАДАТА НА КМЕТСТВОТО С.КОШАРЕВО",https://evideo.bg/pe202410/14.html#140800019
140800020,С.ГИГИНЦИ,"С.ГИГИНЦИ, ЧИТАЛИЩЕ С.ГИГИНЦИ ГОЛЯМ САЛОН",https://evideo.bg/pe202410/14.html#140800020
140800021,С.НЕПРАЗНЕНЦИ,"С.НЕПРАЗНЕНЦИ, СГРАДАТА НА КМЕТСТВОТО С.НЕПРАЗНЕНЦИ",https://evideo.bg/pe202410/14.html#140800021
140800022,С.НОЕВЦИ,"С.НОЕВЦИ, ЧИТАЛИЩЕ С.НОЕВЦИ 1-ВИ ЕТАЖ /БИВША СЛАДКАРНИЦА/",https://evideo.bg/pe202410/14.html#140800022
140800023,С.ВЕЛКОВЦИ,"С.ВЕЛКОВЦИ, ЧИТАЛИЩЕ С.ВЕЛКОВЦИ",https://evideo.bg/pe202410/14.html#140800023
140800024,С.СОПИЦА,"С.СОПИЦА, СГРАДАТА НА КМЕТСТВОТО С.СОПИЦА",https://evideo.bg/pe202410/14.html#140800024
140800025,С.СЛАКОВЦИ,"С.СЛАКОВЦИ, ЧИТАЛИЩЕ С.СЛАКОВЦИ - БИВША ДЕТСКА ГРАДИНА - 1-ВИ ЕТАЖ",https://evideo.bg/pe202410/14.html#140800025
