id,town,address,video
181100001,С.БРЕСТОВЕНЕ,"С.БРЕСТОВЕНЕ, УЛ.""Н.Й.ВАПЦАРОВ"" №4 - КМЕТСТВОТО",https://evideo.bg/pe202410/18.html#181100001
181100002,С.БРЕСТОВЕНЕ,"С.БРЕСТОВЕНЕ, УЛ"".Н.Й.ВАПЦАРОВ"" №6 - ОУ""ХР.БОТЕВ""",https://evideo.bg/pe202410/18.html#181100002
181100003,С.БРЕСТОВЕНЕ,"С.БРЕСТОВЕНЕ, УЛ.""ДЕМОКРАЦИЯ"" №2 - ЧИТАЛИЩЕ",https://evideo.bg/pe202410/18.html#181100003
181100004,С.ВЕСЕЛЕЦ,"С.ВЕСЕЛЕЦ, УЛ. ""ЕВРОПА"" №34А - КМЕТСТВО",https://evideo.bg/pe202410/18.html#181100004
181100005,ГР.ЗАВЕТ,"ГР.ЗАВЕТ, УЛ. ""ЛУДОГОРИЕ"" №19 - ДИРЕКЦИЯ""СОЦИАЛНО ПОДПОМАГАНЕ""",https://evideo.bg/pe202410/18.html#181100005
181100006,ГР.ЗАВЕТ,"ГР.ЗАВЕТ, УЛ.""КИРИЛ И МЕТОДИЙ"" №34 - СУ ""СВ.СВ.КИРИЛ И МЕТОДИЙ""",https://evideo.bg/pe202410/18.html#181100006
181100007,ГР.ЗАВЕТ,"ГР.ЗАВЕТ, УЛ.""КИРИЛ И МЕТОДИЙ"" №64 - ПЕНСИОНЕРСКИ КЛУБ №2",https://evideo.bg/pe202410/18.html#181100007
181100008,ГР.ЗАВЕТ,"ГР.ЗАВЕТ, УЛ.""ЛУДОГОРИЕ"" №19А - ЧИТАЛИЩЕ",https://evideo.bg/pe202410/18.html#181100008
181100009,С.ИВАН ШИШМАНОВО,"С.ИВАН ШИШМАНОВО, УЛ.""ВАСИЛ ЛЕВСКИ"" №17 - КМЕТСТВО",https://evideo.bg/pe202410/18.html#181100009
181100010,С.ОСТРОВО,"С.ОСТРОВО, УЛ.""ХЕМУС"" №34 - КМЕТСТВО",https://evideo.bg/pe202410/18.html#181100010
181100011,С.ОСТРОВО,"С.ОСТРОВО, УЛ.""ИВАН ВАЗОВ"" №1 - ЦДГ""РАДОСТ""",https://evideo.bg/pe202410/18.html#181100011
181100012,С.ОСТРОВО,"С.ОСТРОВО, УЛ.""ХЕМУС"" № 69 - ОУ ""ХР.БОТЕВ""",https://evideo.bg/pe202410/18.html#181100012
181100013,С.ПРЕЛЕЗ,"С.ПРЕЛЕЗ, УЛ.""ЛУДОГОРИЕ"" №47- КМЕТСТВО",https://evideo.bg/pe202410/18.html#181100013
181100014,С.СУШЕВО,"С.СУШЕВО, УЛ.""ТРЕТИ МАРТ"" №42 - ОУ ""В.ЛЕВСКИ""",https://evideo.bg/pe202410/18.html#181100014
181400001,С.БЕЛИНЦИ,"С.БЕЛИНЦИ, УЛ.""В.ЛЕВСКИ"" №13 - ЧИТАЛИЩЕ",https://evideo.bg/pe202410/18.html#181400001
181400002,С.БЪРДОКВА,"С.БЪРДОКВА, УЛ.""ХАН КРУМ"" №14 - КМЕТСТВО",https://evideo.bg/pe202410/18.html#181400002
181400003,С.ВАЗОВО,"С.ВАЗОВО, УЛ.""АЛЕКСАНДЪР СТАМБОЛИЙСКИ"" №18 - УЧИЛИЩЕ",https://evideo.bg/pe202410/18.html#181400003
181400004,С.ГОЛЯМ ПОРОВЕЦ,"С.ГОЛЯМ ПОРОВЕЦ, УЛ.""П.БАНКОВ"" №58 - ЧИТАЛИЩЕ",https://evideo.bg/pe202410/18.html#181400004
181400005,С.ДУХОВЕЦ,"С.ДУХОВЕЦ, УЛ.""Н.Й.ВАПЦАРОВ"" №44 - КМЕТСТВО",https://evideo.bg/pe202410/18.html#181400005
181400006,С.ДЕЛЧЕВО,"С.ДЕЛЧЕВО, УЛ.""ЛУДОГОРИЕ"" №7- КМЕТСТВО",https://evideo.bg/pe202410/18.html#181400006
