id,town,address,video
190300001,ГР.БОРОВО,"ГР.БОРОВО, УЛ. ""КООПЕРАТИВНА"" №2А, ПЕНСИОНЕРСКИ КЛУБ",https://evideo.bg/pe202410/19.html#190300001
190300002,ГР.БОРОВО,"ГР.БОРОВО, БУЛ. ""ШЕСТИ СЕПТЕМВРИ"" №35Б, ЧИТАЛИЩЕ ""ИСКРА""",https://evideo.bg/pe202410/19.html#190300002
190300003,ГР.БОРОВО,"ГР.БОРОВО, УЛ. ""ПЪРВИ МАЙ"" №2, ЦСРИ ""ДЕТЕЛИНА""",https://evideo.bg/pe202410/19.html#190300003
190300004,С.ВОЛОВО,"С.ВОЛОВО, УЛ. ""КНЯЗ БОРИС I"" №47, ПЕНСИОНЕРСКИ КЛУБ",https://evideo.bg/pe202410/19.html#190300004
190300005,С.БРЕСТОВИЦА,"С.БРЕСТОВИЦА, УЛ. ""ПИРОГОВ"" №2А, ПЕНСИОНЕРСКИ КЛУБ",https://evideo.bg/pe202410/19.html#190300005
190300006,С.ОБРЕТЕНИК,"С.ОБРЕТЕНИК, УЛ. ""ДУНАВ"" №2, ОУ ""П. Р. СЛАВЕЙКОВ""",https://evideo.bg/pe202410/19.html#190300006
190300007,С.ОБРЕТЕНИК,"С.ОБРЕТЕНИК, УЛ. ""ДУНАВ"" №2, ОУ ""П. Р. СЛАВЕЙКОВ""",https://evideo.bg/pe202410/19.html#190300007
190300008,С.ЕКЗАРХ ЙОСИФ,"С.ЕКЗАРХ ЙОСИФ, УЛ. ""НИКОЛАЕВСКА"" №3, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/19.html#190300008
190300009,С.ГОРНО АБЛАНОВО,"С.ГОРНО АБЛАНОВО, ПЛ. ""БЪЛГАРИЯ"" №2, ПЕНСИОНЕРСКИ КЛУБ",https://evideo.bg/pe202410/19.html#190300009
190300010,С.БАТИН,"С.БАТИН, УЛ. ""ЛЮБЕН КАРАВЕЛОВ"" №5, РЕСТОРАНТ НА ЗКПУ ""ДУНАВ""",https://evideo.bg/pe202410/19.html#190300010
190400001,ГР.БЯЛА,"ГР.БЯЛА, УЛ. ""ТРАЙЧО КОСТОВ"" №1, ЕТАЖ 1 /ИЗТОЧНО КРИЛО/, АРТ ЦЕНТЪР БЯЛА",https://evideo.bg/pe202410/19.html#190400001
190400002,ГР.БЯЛА,"ГР.БЯЛА, УЛ. ""ТРАЙЧО КОСТОВ"" №1, ЕТАЖ 1 /ЗАПАДНО КРИЛО/, АРТ ЦЕНТЪР БЯЛА",https://evideo.bg/pe202410/19.html#190400002
190400003,ГР.БЯЛА,"ГР.БЯЛА, УЛ. ""ЦАР ОСВОБОДИТЕЛ"" №30, СУ ""ПАНАЙОТ ВОЛОВ"", ЕТАЖ 1 /ИЗТОЧНО КРИЛО/",https://evideo.bg/pe202410/19.html#190400003
190400004,ГР.БЯЛА,"ГР.БЯЛА, УЛ. ""ЦАР ОСВОБОДИТЕЛ"" №30, СУ ""ПАНАЙОТ ВОЛОВ"", ЕТАЖ 1 /ЗАПАДНО КРИЛО/",https://evideo.bg/pe202410/19.html#190400004
190400005,ГР.БЯЛА,"ГР.БЯЛА, УЛ. ""ХАДЖИ ДИМИТЪР"" №19, НУ ""П. Р. СЛАВЕЙКОВ"", ЕТАЖ 1",https://evideo.bg/pe202410/19.html#190400005
190400006,ГР.БЯЛА,"ГР.БЯЛА, УЛ. ""ХАДЖИ ДИМИТЪР"" №19, НУ ""П. Р. СЛАВЕЙКОВ"", ЕТАЖ 1",https://evideo.bg/pe202410/19.html#190400006
190400007,ГР.БЯЛА,"ГР.БЯЛА, УЛ. ""КАП. АТАНАС БЕНДЕРЕВ"" №8, ДЕТСКА ГРАДИНА ""ПРОЛЕТ""",https://evideo.bg/pe202410/19.html#190400007
190400008,ГР.БЯЛА,"ГР.БЯЛА, УЛ. ""ХАДЖИ ДИМИТЪР"" №19, НУ ""П. Р. СЛАВЕЙКОВ"", ЕТАЖ 2",https://evideo.bg/pe202410/19.html#190400008
190400009,ГР.БЯЛА,"ГР.БЯЛА, ПЛ. ""ЕКЗАРХ ЙОСИФ I"" №9, ЧИТАЛИЩЕ ""ТРУДОЛЮБИЕ 1884"", ЕТАЖ 2",https://evideo.bg/pe202410/19.html#190400009
190400010,ГР.БЯЛА,"ГР.БЯЛА, УЛ. ""ЦАР ОСВОБОДИТЕЛ"" №30, СУ ""ПАНАЙОТ ВОЛОВ"", ЕТАЖ 1 /ЗАПАДНО КРИЛО/",https://evideo.bg/pe202410/19.html#190400010
190400011,ГР.БЯЛА,"ГР.БЯЛА, УЛ. ""ЦАР ОСВОБОДИТЕЛ"" №30, СУ ""ПАНАЙОТ ВОЛОВ"", ЕТАЖ 2 /ИЗТОЧНО КРИЛО/",https://evideo.bg/pe202410/19.html#190400011
190400014,С.БОТРОВ,"С.БОТРОВ, УЛ. ""ГЕОРГИ ДИМИТРОВ"" №19, КМЕТСТВО, ЕТАЖ 1",https://evideo.bg/pe202410/19.html#190400014
190400015,С.СТЪРМЕН,"С.СТЪРМЕН, ПЛ. ""АЛЕКСАНДЪР СТАМБОЛИЙСКИ"" №3, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/19.html#190400015
190400016,С.ПЕТ КЛАДЕНЦИ,"С.ПЕТ КЛАДЕНЦИ, УЛ. ""ГЕОРГИ ДИМИТРОВ"" №15А, АДМИНИСТРАТИВНА СГРАДА - КМЕТСКИ НАМЕСТНИК",https://evideo.bg/pe202410/19.html#190400016
190400017,С.ПОЛСКО КОСОВО,"С.ПОЛСКО КОСОВО, УЛ. ""ДЕВЕТИ СЕПТЕМВРИ"" №64, ОУ ""СВ. СВ. КИРИЛ И МЕТОДИЙ"", ЕТАЖ 1",https://evideo.bg/pe202410/19.html#190400017
190400018,С.ПОЛСКО КОСОВО,"С.ПОЛСКО КОСОВО, УЛ. ""ДЕВЕТИ СЕПТЕМВРИ"" №64, ОУ ""СВ. СВ. КИРИЛ И МЕТОДИЙ"", ЕТАЖ 1",https://evideo.bg/pe202410/19.html#190400018
190400019,С.ЛОМ ЧЕРКОВНА,"С.ЛОМ ЧЕРКОВНА, УЛ. ""ТРЕТИ МАРТ"" №11, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/19.html#190400019
190400020,С.БОСИЛКОВЦИ,"С.БОСИЛКОВЦИ, УЛ. ""ЦАР ОСВОБОДИТЕЛ"" №23, КМЕТСТВО, ЕТАЖ 1",https://evideo.bg/pe202410/19.html#190400020
190400021,С.ПЕЙЧИНОВО,"С.ПЕЙЧИНОВО, УЛ. ""ГЕОРГИ ДИМИТРОВ"" №29, КМЕТСТВО, ЕТАЖ 1",https://evideo.bg/pe202410/19.html#190400021
190400022,С.КОПРИВЕЦ,"С.КОПРИВЕЦ, УЛ. ""ВЪЗРАЖДАНЕ"" №35, ЧИТАЛИЩЕ ""СВ. СВ. КИРИЛ И МЕТОДИЙ""",https://evideo.bg/pe202410/19.html#190400022
190400023,С.КОПРИВЕЦ,"С.КОПРИВЕЦ, УЛ. ""НЕОФИТ РИЛСКИ"" №30, ОУ ""НЕОФИТ РИЛСКИ""",https://evideo.bg/pe202410/19.html#190400023
190400024,С.ДРЯНОВЕЦ,"С.ДРЯНОВЕЦ, ПЛ. ""АЛЕКО"" №3, ОБЩНОСТЕН ЦЕНТЪР, ЕТАЖ 1",https://evideo.bg/pe202410/19.html#190400024
190400025,С.БИСТРЕНЦИ,"С.БИСТРЕНЦИ, УЛ. ""ПИРИН"" №28, КМЕТСТВО, ЕТАЖ 1",https://evideo.bg/pe202410/19.html#190400025
190500001,ГР.ВЕТОВО,"ГР.ВЕТОВО, УЛ. ""ТРЕТИ МАРТ"" №6, РИТУАЛНА ЗАЛА",https://evideo.bg/pe202410/19.html#190500001
190500002,ГР.ВЕТОВО,"ГР.ВЕТОВО, УЛ. ""ТРЕТИ МАРТ"" №3, ПЕНСИОНЕРСКИ КЛУБ 1",https://evideo.bg/pe202410/19.html#190500002
190500003,ГР.ВЕТОВО,"ГР.ВЕТОВО, УЛ. ""ВАСИЛ ЛЕВСКИ"" №3, БИВШЕ ТУРСКО УЧИЛИЩЕ",https://evideo.bg/pe202410/19.html#190500003
190500004,ГР.ВЕТОВО,"ГР.ВЕТОВО, УЛ. ""ВАСИЛ ЛЕВСКИ"" №3, БИВШЕ ТУРСКО УЧИЛИЩЕ",https://evideo.bg/pe202410/19.html#190500004
190500005,ГР.ВЕТОВО,"ГР.ВЕТОВО, УЛ. ""ХАН КУБРАТ"" №47, КЛУБ НА ОФ",https://evideo.bg/pe202410/19.html#190500005
190500006,ГР.ВЕТОВО,"ГР.ВЕТОВО, УЛ. ""ДУНАВ"" №1, ЗАСЕДАТЕЛНА ЗАЛА В МЛАДЕЖКИ ДОМ",https://evideo.bg/pe202410/19.html#190500006
190500007,ГР.ГЛОДЖЕВО,"ГР.ГЛОДЖЕВО, УЛ. ""ДИМИТЪР БЛАГОЕВ"" №38, УЧИЛИЩЕ - ЦЕНТРАЛЕН ВХОД",https://evideo.bg/pe202410/19.html#190500007
190500008,ГР.ГЛОДЖЕВО,"ГР.ГЛОДЖЕВО, УЛ. ""ДИМИТЪР БЛАГОЕВ №75, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/19.html#190500008
190500009,ГР.ГЛОДЖЕВО,"ГР.ГЛОДЖЕВО, УЛ. ""ДИМИТЪР БЛАГОЕВ"" №103, МАГАЗИН ЕТ ""ЮЗЕИР ПАШЕВ""",https://evideo.bg/pe202410/19.html#190500009
