,town,address,video
200100201,ГР. АЛФАТАР,"ГР. АЛФАТАР, УЛ. ХРИСТО БОТЕВ 2, ОУ ХРИСТО БОТЕВ",https://evideo.bg/pe202410/20.html#200100201
200100202,ГР. АЛФАТАР,"ГР. АЛФАТАР, УЛ. ЙОРДАН ПЕТРОВ 15, НЧ ЙОРДАН ЙОВКОВ 1894",https://evideo.bg/pe202410/20.html#200100202
200100203,ГР. АЛФАТАР,"ГР. АЛФАТАР, УЛ. АЛЕКСАНДЪР СТАМБОЛИЙСКИ 25, НЧ ВЕДРИНА - 1946",https://evideo.bg/pe202410/20.html#200100203
200100204,С. АЛЕКОВО,"С. АЛЕКОВО ,УЛ. АЛЕКО КОНСТАНТИНОВ 47, РИТУАЛНА ЗАЛА НА КМЕТСТВО АЛЕКОВО",https://evideo.bg/pe202410/20.html#200100204
200100205,С. БИСТРА,"С. БИСТРА ,УЛ. ПЪРВА 6, КМЕТСТВО НА С. БИСТРА",https://evideo.bg/pe202410/20.html#200100205
200100206,С. ВАСИЛ ЛЕВСКИ,"С. ВАСИЛ ЛЕВСКИ, УЛ. ВТОРА 2 А, КЛУБ НА ИНВАЛИДА И ПЕНСИОНЕРА",https://evideo.bg/pe202410/20.html#200100206
200100207,С. КУТЛОВИЦА,"С. КУТЛОВИЦА, УЛ. ПЪРВА 6, НЧ РАЗВИТИЕ 1942",https://evideo.bg/pe202410/20.html#200100207
200100208,С. ЦАР АСЕН,"С. ЦАР АСЕН, УЛ. ШЕСТА 1, КМЕТСКО НАМЕСТНИЧЕСТВО",https://evideo.bg/pe202410/20.html#200100208
200100209,С. ЧУКОВЕЦ,"С. ЧУКОВЕЦ, УЛ. ПЪРВА 3А, КМЕСТВО",https://evideo.bg/pe202410/20.html#200100209
200700301,ГР. ГЛАВИНИЦА,"ГР. ГЛАВИНИЦА, УЛ. ОБОРИЩЕ 57, СОУ ВАСИЛ ЛЕВСКИ",https://evideo.bg/pe202410/20.html#200700301
200700302,ГР. ГЛАВИНИЦА,"ГР. ГЛАВИНИЦА, УЛ. ОБОРИЩЕ 57, СОУ ВАСИЛ ЛЕВСКИ",https://evideo.bg/pe202410/20.html#200700302
200700303,С. БАЩИНО,"С. БАЩИНО, УЛ. ВТОРА 9, ПЕНСИОНЕРСКИ КЛУБ",https://evideo.bg/pe202410/20.html#200700303
200700304,С. БОГДАНЦИ,"С. БОГДАНЦИ, УЛ. ПИРИН 8, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/20.html#200700304
200700305,С. ВЪЛКАН,"С. ВЪЛКАН, УЛ. ПЪРВА 22, КМЕТСТВО",https://evideo.bg/pe202410/20.html#200700305
200700306,С. ДИЧЕВО,"С. ДИЧЕВО, УЛ. ОСЕМНАДЕСЕТА 2, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/20.html#200700306
200700307,С. ДОЛНО РЯХОВО,"С. ДОЛНО РЯХОВО, УЛ. ПЪРВА 77, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/20.html#200700307
200700308,С. ЗАРИЦА,"С. ЗАРИЦА, УЛ. ПЪРВА 9, КМЕТСТВО",https://evideo.bg/pe202410/20.html#200700308
200700309,С. ЗАФИРОВО,"С. ЗАФИРОВО, УЛ. ГЕН. АТИЛА ЗАФИРОВ 63, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/20.html#200700309
200700310,С. ЗАФИРОВО,"С. ЗАФИРОВО, УЛ. ВАСИЛ БЪЧВАРОВ 9, ОУ ИВАН ВАЗОВ",https://evideo.bg/pe202410/20.html#200700310
200700311,С. ЗЕБИЛ,"С. ЗЕБИЛ, УЛ. ВТОРА 12, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/20.html#200700311
