id,town,address,video
211100001,С.БОРИНЦИ,"С.БОРИНЦИ, КМЕТСТВО",https://evideo.bg/pe202410/21.html#211100001
211100003,С.ГРАДЕЦ,"С.ГРАДЕЦ, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/21.html#211100003
211100004,С.ГРАДЕЦ,"С.ГРАДЕЦ, ОСНОВНО УЧИЛИЩЕ - НАЧАЛЕН КУРС",https://evideo.bg/pe202410/21.html#211100004
211100005,С.ГРАДЕЦ,"С.ГРАДЕЦ, ОСНОВНО УЧИЛИЩЕ - НАЧАЛЕН КУРС",https://evideo.bg/pe202410/21.html#211100005
211100006,С.ГРАДЕЦ,"С.ГРАДЕЦ, ОСНОВНО УЧИЛИЩЕ - НАЧАЛЕН КУРС",https://evideo.bg/pe202410/21.html#211100006
211100007,С.ДЪБОВА,"С.ДЪБОВА, КМЕТСКО НАМЕСТНИЧЕСТВО",https://evideo.bg/pe202410/21.html#211100007
211100008,С.ЖЕРАВНА,"С.ЖЕРАВНА, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/21.html#211100008
211100010,С.КИПИЛОВО,"С.КИПИЛОВО, КМЕТСТВО",https://evideo.bg/pe202410/21.html#211100010
211100011,ГР.КОТЕЛ,"ГР.КОТЕЛ, СУ - ГИМНАЗИАЛЕН КУРС",https://evideo.bg/pe202410/21.html#211100011
211100012,ГР.КОТЕЛ,"ГР.КОТЕЛ, СУ - ГИМНАЗИАЛЕН КУРС",https://evideo.bg/pe202410/21.html#211100012
211100013,ГР.КОТЕЛ,"ГР.КОТЕЛ, СУ - НАЧАЛЕН КУРС",https://evideo.bg/pe202410/21.html#211100013
211100014,ГР.КОТЕЛ,"ГР.КОТЕЛ, СУ - НАЧАЛЕН КУРС",https://evideo.bg/pe202410/21.html#211100014
211100015,ГР.КОТЕЛ,"ГР.КОТЕЛ, СУ - НАЧАЛЕН КУРС",https://evideo.bg/pe202410/21.html#211100015
211100016,ГР.КОТЕЛ,"ГР.КОТЕЛ, СУ - НАЧАЛЕН КУРС",https://evideo.bg/pe202410/21.html#211100016
211100017,С.МАЛКО СЕЛО,"С.МАЛКО СЕЛО, КМЕТСТВО",https://evideo.bg/pe202410/21.html#211100017
211100018,С.МЕДВЕН,"С.МЕДВЕН, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/21.html#211100018
211100019,С.МОКРЕН,"С.МОКРЕН, КМЕТСТВО",https://evideo.bg/pe202410/21.html#211100019
211100020,С.НЕЙКОВО,"С.НЕЙКОВО, КМЕТСТВО",https://evideo.bg/pe202410/21.html#211100020
211100021,С.ОРЛОВО,"С.ОРЛОВО, КМЕТСТВО",https://evideo.bg/pe202410/21.html#211100021
211100022,С.ОСТРА МОГИЛА,"С.ОСТРА МОГИЛА, КМЕТСТВО",https://evideo.bg/pe202410/21.html#211100022
211100023,С.ПЪДАРЕВО,"С.ПЪДАРЕВО, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/21.html#211100023
211100025,С.СОКОЛАРЦИ,"С.СОКОЛАРЦИ, КМЕТСТВО",https://evideo.bg/pe202410/21.html#211100025
211100026,С.СТРЕЛЦИ,"С.СТРЕЛЦИ, КМЕТСТВО",https://evideo.bg/pe202410/21.html#211100026
211100027,С.ТИЧА,"С.ТИЧА, КМЕТСТВО",https://evideo.bg/pe202410/21.html#211100027
211100028,С.ТОПУЗЕВО,"С.ТОПУЗЕВО, КМЕТСТВО",https://evideo.bg/pe202410/21.html#211100028
211100029,С.ФИЛАРЕТОВО,"С.ФИЛАРЕТОВО, КМЕТСТВО",https://evideo.bg/pe202410/21.html#211100029
211100030,С.ЯБЛАНОВО,"С.ЯБЛАНОВО, ОСНОВНО УЧИЛИЩЕ",https://evideo.bg/pe202410/21.html#211100030
211100031,С.ЯБЛАНОВО,"С.ЯБЛАНОВО, ОСНОВНО УЧИЛИЩЕ",https://evideo.bg/pe202410/21.html#211100031
211100032,С.ЯБЛАНОВО,"С.ЯБЛАНОВО, ОСНОВНО УЧИЛИЩЕ",https://evideo.bg/pe202410/21.html#211100032
211100033,С.ЯБЛАНОВО,"С.ЯБЛАНОВО, ОСНОВНО УЧИЛИЩЕ",https://evideo.bg/pe202410/21.html#211100033
211600001,ГР.НОВА ЗАГОРА,"ГР.НОВА ЗАГОРА, ПГТТ""АТ. ДИМИТРОВ""",https://evideo.bg/pe202410/21.html#211600001
211600002,ГР.НОВА ЗАГОРА,"ГР.НОВА ЗАГОРА, НУ ""Л.КАРАВЕЛОВ""",https://evideo.bg/pe202410/21.html#211600002
211600003,ГР.НОВА ЗАГОРА,"ГР.НОВА ЗАГОРА, СУ ""ХР. БОТЕВ""-ЦЕНТРАЛНА СГРАДА",https://evideo.bg/pe202410/21.html#211600003
211600004,ГР.НОВА ЗАГОРА,"ГР.НОВА ЗАГОРА, СУ ""ХР. БОТЕВ""-ЦЕНТРАЛНА СГРАДА",https://evideo.bg/pe202410/21.html#211600004
211600005,ГР.НОВА ЗАГОРА,"ГР.НОВА ЗАГОРА, НУ ""П. ХИЛЕНДАРСКИ""",https://evideo.bg/pe202410/21.html#211600005
211600006,ГР.НОВА ЗАГОРА,"ГР.НОВА ЗАГОРА, НУ ""П. ХИЛЕНДАРСКИ""",https://evideo.bg/pe202410/21.html#211600006
211600007,ГР.НОВА ЗАГОРА,"ГР.НОВА ЗАГОРА, ПД ЯСЛА",https://evideo.bg/pe202410/21.html#211600007
211600008,ГР.НОВА ЗАГОРА,"ГР.НОВА ЗАГОРА, ДГ ""БОДРА СМЯНА""- Ж.К. ТРАКИЯ",https://evideo.bg/pe202410/21.html#211600008
211600009,ГР.НОВА ЗАГОРА,"ГР.НОВА ЗАГОРА, ОУ ""ХРИСТО СМИРНЕНСКИ""",https://evideo.bg/pe202410/21.html#211600009
211600010,ГР.НОВА ЗАГОРА,"ГР.НОВА ЗАГОРА, ОУ ""ХРИСТО СМИРНЕНСКИ""",https://evideo.bg/pe202410/21.html#211600010
211600011,ГР.НОВА ЗАГОРА,"ГР.НОВА ЗАГОРА, ОУ ""ХРИСТО СМИРНЕНСКИ""",https://evideo.bg/pe202410/21.html#211600011
211600012,ГР.НОВА ЗАГОРА,"ГР.НОВА ЗАГОРА, ОУ ""ХРИСТО СМИРНЕНСКИ""",https://evideo.bg/pe202410/21.html#211600012
211600013,ГР.НОВА ЗАГОРА,"ГР.НОВА ЗАГОРА, ОУ ""ХРИСТО СМИРНЕНСКИ""",https://evideo.bg/pe202410/21.html#211600013
211600014,ГР.НОВА ЗАГОРА,"ГР.НОВА ЗАГОРА, ОУ ""ХРИСТО СМИРНЕНСКИ""",https://evideo.bg/pe202410/21.html#211600014
211600015,ГР.НОВА ЗАГОРА,"ГР.НОВА ЗАГОРА, ОУ ""ХРИСТО СМИРНЕНСКИ""",https://evideo.bg/pe202410/21.html#211600015
211600016,ГР.НОВА ЗАГОРА,"ГР.НОВА ЗАГОРА, ОУ ""ХРИСТО СМИРНЕНСКИ""",https://evideo.bg/pe202410/21.html#211600016
211600017,ГР.НОВА ЗАГОРА,"ГР.НОВА ЗАГОРА, СУ""ИВАН ВАЗОВ"" - НАЧАЛЕН ЕТАП",https://evideo.bg/pe202410/21.html#211600017
211600018,ГР.НОВА ЗАГОРА,"ГР.НОВА ЗАГОРА, СУ""ИВАН ВАЗОВ"" - НАЧАЛЕН ЕТАП",https://evideo.bg/pe202410/21.html#211600018
211600019,ГР.НОВА ЗАГОРА,"ГР.НОВА ЗАГОРА, СУ""ИВАН ВАЗОВ"" - НАЧАЛЕН ЕТАП",https://evideo.bg/pe202410/21.html#211600019
211600020,ГР.НОВА ЗАГОРА,"ГР.НОВА ЗАГОРА, СУ""ИВАН ВАЗОВ"" - НАЧАЛЕН ЕТАП",https://evideo.bg/pe202410/21.html#211600020
211600021,ГР.НОВА ЗАГОРА,"ГР.НОВА ЗАГОРА, СУ ""ИВАН ВАЗОВ"" - ЦЕНТРАЛНА СГРАДА",https://evideo.bg/pe202410/21.html#211600021
211600022,ГР.НОВА ЗАГОРА,"ГР.НОВА ЗАГОРА, СУ ""ИВАН ВАЗОВ"" - ЦЕНТРАЛНА СГРАДА",https://evideo.bg/pe202410/21.html#211600022
211600023,ГР.НОВА ЗАГОРА,"ГР.НОВА ЗАГОРА, СУ ""ИВАН ВАЗОВ"" - ЦЕНТРАЛНА СГРАДА",https://evideo.bg/pe202410/21.html#211600023
211600024,ГР.НОВА ЗАГОРА,"ГР.НОВА ЗАГОРА, КЛУБ НА ПЕНСИОНЕРА - ЖК ""ЗАГОРЕ""",https://evideo.bg/pe202410/21.html#211600024
211600025,ГР.НОВА ЗАГОРА,"ГР.НОВА ЗАГОРА, ЦСОП ""АКАД. Т. САМОДУМОВ""",https://evideo.bg/pe202410/21.html#211600025
211600026,ГР.НОВА ЗАГОРА,"ГР.НОВА ЗАГОРА, ЦСОП ""АКАД. Т. САМОДУМОВ""",https://evideo.bg/pe202410/21.html#211600026
211600027,ГР.НОВА ЗАГОРА,"ГР.НОВА ЗАГОРА, СУ ""ХРИСТО БОТЕВ"" - НАЧАЛЕН ЕТАП",https://evideo.bg/pe202410/21.html#211600027
211600028,ГР.НОВА ЗАГОРА,"ГР.НОВА ЗАГОРА, СУ ""ХРИСТО БОТЕВ"" - НАЧАЛЕН ЕТАП",https://evideo.bg/pe202410/21.html#211600028
211600029,ГР.НОВА ЗАГОРА,"ГР.НОВА ЗАГОРА, ПГТТ ""АТ. ДИМИТРОВ""",https://evideo.bg/pe202410/21.html#211600029
211600030,С.КОРТЕН,"С.КОРТЕН, ОУ ""П.Р.СЛАВЕЙКОВ""",https://evideo.bg/pe202410/21.html#211600030
211600031,С.КОРТЕН,"С.КОРТЕН, ОУ ""П.Р.СЛАВЕЙКОВ""",https://evideo.bg/pe202410/21.html#211600031
