id,town,address,video
220200001,С.БАНИТЕ,"С.БАНИТЕ, СУ ""ХРИСТО БОТЕВ"", УЛ. ""ИВАН ВАЗОВ"" № 010",https://evideo.bg/pe202410/22.html#220200001
220200002,С.БАНИТЕ,"С.БАНИТЕ, СУ ""ХРИСТО БОТЕВ"", УЛ. ""ИВАН ВАЗОВ"" № 010",https://evideo.bg/pe202410/22.html#220200002
220200003,С.ОРЯХОВЕЦ,"С.ОРЯХОВЕЦ, АДМИНИСТРАТИВНА СГРАДА НА КМЕТСТВОТО",https://evideo.bg/pe202410/22.html#220200003
220200004,С.ВИШНЕВО,"С.ВИШНЕВО, АДМИНИСТРАТИВНА СГРАДА НА КМЕТСТВОТО",https://evideo.bg/pe202410/22.html#220200004
220200005,С.ГЪЛЪБОВО,"С.ГЪЛЪБОВО, КОМБИНИРАНА АДМИНИСТРАТИВНА СГРАДА НА ЧИТАЛИЩЕ ""СВЕТЛИНА 1967""",https://evideo.bg/pe202410/22.html#220200005
220200006,С.ТРАВЕ,"С.ТРАВЕ, КОМБИНИРАНА АДМИНИСТРАТИВНА СГРАДА",https://evideo.bg/pe202410/22.html#220200006
220200007,С.ДРЯНКА,"С.ДРЯНКА, КОМБИНИРАНА АДМИНИСТРАТИВНА СГРАДА",https://evideo.bg/pe202410/22.html#220200007
220200008,С.МАЛКА АРДА,"С.МАЛКА АРДА, СГРАДА НА БИВША ДЕТСКА ГРАДИНА",https://evideo.bg/pe202410/22.html#220200008
220200009,С.КРЪСТАТИЦА,"С.КРЪСТАТИЦА, СГРАДА НА БИВШЕ КМЕТСТВО",https://evideo.bg/pe202410/22.html#220200009
220200010,С.ГЛОГИНО,"С.ГЛОГИНО, КОМБ. АДМИНИСТРАТИВНА СГРАДА НА КМЕТСКО НАМЕСТНИЧЕСТВО В КВ. КИРКОВО",https://evideo.bg/pe202410/22.html#220200010
220200011,С.ДАВИДКОВО,"С.ДАВИДКОВО, АДМИНИСТРАТИВНА СГРАДА НА КМЕТСТВОТО, УЛ. ""ЕВРОПА"" № 100",https://evideo.bg/pe202410/22.html#220200011
220200012,С.СТЪРНИЦА,"С.СТЪРНИЦА, СГРАДА НА БИВША ДЕТСКА ГРАДИНА",https://evideo.bg/pe202410/22.html#220200012
220200013,С.БОСИЛКОВО,"С.БОСИЛКОВО, КОМБИНИРАНА АДМИНИСТРАТИВНА СГРАДА",https://evideo.bg/pe202410/22.html#220200013
220200014,С.ЗАГРАЖДЕН,"С.ЗАГРАЖДЕН, АДМИНИСТРАТИВНА СГРАДА НА КМЕТСТВОТО, УЛ. ""22 СЕПТЕМВРИ"" № 019",https://evideo.bg/pe202410/22.html#220200014
220200015,С.ВЪЛЧАН ДОЛ,"С.ВЪЛЧАН ДОЛ, КОМБИНИРАНА АДМИНИСТРАТИВНА СГРАДА",https://evideo.bg/pe202410/22.html#220200015
220500001,С.БОРИНО,"С.БОРИНО, ЧИТАЛИЩЕ ""ОБНОВА 1939"", УЛ. ""РОДОПИ"" № 33",https://evideo.bg/pe202410/22.html#220500001
220500002,С.БОРИНО,"С.БОРИНО, УЧИЛИЩЕ ""Н.Й. ВАПЦАРОВ"" - СТАЯ № 1, УЛ. ""ХРИСТО БОТЕВ"" № 29",https://evideo.bg/pe202410/22.html#220500002
220500003,С.БОРИНО,"С.БОРИНО, УЧИЛИЩЕ ""Н.Й. ВАПЦАРОВ"" - СТАЯ № 4, УЛ. ""ХРИСТО БОТЕВ"" № 29",https://evideo.bg/pe202410/22.html#220500003
220500004,С.ЧАЛА,"С.ЧАЛА, КМЕТСТВОТО",https://evideo.bg/pe202410/22.html#220500004
220500005,С.ЯГОДИНА,"С.ЯГОДИНА, КМЕТСТВОТО",https://evideo.bg/pe202410/22.html#220500005
220500006,С.БУЙНОВО,"С.БУЙНОВО, КМЕТСТВОТО",https://evideo.bg/pe202410/22.html#220500006
220500007,С.КОЖАРИ,"С.КОЖАРИ, КМЕТСТВОТО",https://evideo.bg/pe202410/22.html#220500007
