id,town,address,video
260600001,ГР.БОЖУРИЩЕ,"ГР.БОЖУРИЩЕ, СУ""ЛЕТЕЦ ХР.ТОПРАКЧИЕВ"" - НОВА СГРАДА, БУЛ. ""ИВАН ВАЗОВ"" №10",https://evideo.bg/pe202410/26.html#260600001
260600002,ГР.БОЖУРИЩЕ,"ГР.БОЖУРИЩЕ, СУ""ЛЕТЕЦ ХР.ТОПРАКЧИЕВ"" - НОВА СГРАДА, БУЛ. ""ИВАН ВАЗОВ"" №10",https://evideo.bg/pe202410/26.html#260600002
260600003,ГР.БОЖУРИЩЕ,"ГР.БОЖУРИЩЕ, СУ""ЛЕТЕЦ ХР.ТОПРАКЧИЕВ"" - СТАРА СГРАДА, БУЛ. ""ИВАН ВАЗОВ"" №10",https://evideo.bg/pe202410/26.html#260600003
260600004,ГР.БОЖУРИЩЕ,"ГР.БОЖУРИЩЕ, СУ""ЛЕТЕЦ ХР.ТОПРАКЧИЕВ"" - НОВ КВАРТАЛ, УЛ.""ЗДРАВЕЦ"" №5",https://evideo.bg/pe202410/26.html#260600004
260600005,ГР.БОЖУРИЩЕ,"ГР.БОЖУРИЩЕ, СУ""ЛЕТЕЦ ХР.ТОПРАКЧИЕВ"" - СТАРА СГРАДА, БУЛ.""ИВАН ВАЗОВ"" №10",https://evideo.bg/pe202410/26.html#260600005
260600006,ГР.БОЖУРИЩЕ,"ГР.БОЖУРИЩЕ, СУ""ЛЕТЕЦ ХР.ТОПРАКЧИЕВ"" - НОВ КВАРТАЛ, УЛ.""ЗДРАВЕЦ""№5",https://evideo.bg/pe202410/26.html#260600006
260600007,С.ПРОЛЕША,"С.ПРОЛЕША, ЧИТАЛИЩЕТО, УЛ. ""ХРИСТО БОТЕВ"" №81А",https://evideo.bg/pe202410/26.html#260600007
260600008,С.ХЕРАКОВО,"С.ХЕРАКОВО, СГРАДАТА НА ФИТНЕСА, УЛ. ""ВАСИЛ ЛЕВСКИ"" №2А",https://evideo.bg/pe202410/26.html#260600008
260600009,С.ХРАБЪРСКО,"С.ХРАБЪРСКО, СГРАДАТА НА КМЕТСТВОТО, УЛ. ""ЛИПА"" №6",https://evideo.bg/pe202410/26.html#260600009
260600010,С.ГУРМАЗОВО,"С.ГУРМАЗОВО, ЧИТАЛИЩЕТО, УЛ. ""МЛАДЕН ПАНОВ"" №12",https://evideo.bg/pe202410/26.html#260600010
260600011,С.ПОЖАРЕВО,"С.ПОЖАРЕВО, ЧИТАЛИЩЕТО, УЛ. ""КОСМОНАВТ ГЕОРГИ ИВАНОВ"" №103",https://evideo.bg/pe202410/26.html#260600011
260600012,С.ЗЛАТУША,"С.ЗЛАТУША, СГРАДАТА НА КМЕТСТВОТО И ПЕНСИОНЕРСКИ КЛУБ, УЛ. ""ГРАНИТ"" №5",https://evideo.bg/pe202410/26.html#260600012
260700001,ГР.БОТЕВГРАД,"ГР.БОТЕВГРАД, ОУ""НИКОЛА ВАПЦАРОВ"" - СТАЯ 106, УЛ.""СТАРА ПЛАНИНА"" №2",https://evideo.bg/pe202410/26.html#260700001
260700002,ГР.БОТЕВГРАД,"ГР.БОТЕВГРАД, ОУ""НИКОЛА ВАПЦАРОВ"" - СТАЯ 108, УЛ.""СТАРА ПЛАНИНА"" №2",https://evideo.bg/pe202410/26.html#260700002
260700003,ГР.БОТЕВГРАД,"ГР.БОТЕВГРАД, ОУ""НИКОЛА ВАПЦАРОВ"" - СТАЯ 110, УЛ.""СТАРА ПЛАНИНА"" №2",https://evideo.bg/pe202410/26.html#260700003
