id,town,address,video
280200001,ГР.АНТОНОВО,"ГР.АНТОНОВО, ТУРИСТИЧЕСКИ ИНФОРМАЦИОНЕН ЦЕНТЪР - БУЛ.""ТУЗЛУШКИ ГЕРОЙ""№26",https://evideo.bg/pe202410/28.html#280200001
280200002,ГР.АНТОНОВО,"ГР.АНТОНОВО, КЛУБ НА ПЕНСИОНЕРА - БУЛ.""ТУЗЛУШКИ ГЕРОЙ""№52",https://evideo.bg/pe202410/28.html#280200002
280200003,ГР.АНТОНОВО,"ГР.АНТОНОВО, СГРАДАТА НА ОБЩИНАТА КВ. ЕРЕВИШ",https://evideo.bg/pe202410/28.html#280200003
280200004,С.БАНКОВЕЦ,"С.БАНКОВЕЦ, КМЕТСТВО",https://evideo.bg/pe202410/28.html#280200004
280200005,С.БОГОМОЛСКО,"С.БОГОМОЛСКО, КМЕТСТВО",https://evideo.bg/pe202410/28.html#280200005
280200006,С.ВЕЛЬОВО,"С.ВЕЛЬОВО, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/28.html#280200006
280200007,С.ВЕЛИКОВЦИ,"С.ВЕЛИКОВЦИ, КМЕТСТВО",https://evideo.bg/pe202410/28.html#280200007
280200008,С.ГЛАШАТАЙ,"С.ГЛАШАТАЙ, КМЕТСТВОТО",https://evideo.bg/pe202410/28.html#280200008
280200009,С.ГОРНА ЗЛАТИЦА,"С.ГОРНА ЗЛАТИЦА, КМЕТСТВО",https://evideo.bg/pe202410/28.html#280200009
280200010,С.ДЕВИНО,"С.ДЕВИНО, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/28.html#280200010
280200011,С.ДЛЪЖКА ПОЛЯНА,"С.ДЛЪЖКА ПОЛЯНА, КМЕТСТВОТО",https://evideo.bg/pe202410/28.html#280200011
280200012,С.ДОБРОТИЦА,"С.ДОБРОТИЦА, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/28.html#280200012
280200013,С.ИЗВОРОВО,"С.ИЗВОРОВО, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/28.html#280200013
280200014,С.КАПИЩЕ,"С.КАПИЩЕ, КМЕТСТВО",https://evideo.bg/pe202410/28.html#280200014
280200015,С.КИТИНО,"С.КИТИНО, КМЕТСТВО",https://evideo.bg/pe202410/28.html#280200015
280200016,С.КОНОП,"С.КОНОП, КМЕТСТВО",https://evideo.bg/pe202410/28.html#280200016
280200017,С.КРУШОЛАК,"С.КРУШОЛАК, КМЕТСТВОТО",https://evideo.bg/pe202410/28.html#280200017
280200018,С.КЬОСЕВЦИ,"С.КЬОСЕВЦИ, КМЕТСТВО",https://evideo.bg/pe202410/28.html#280200018
280200019,С.ЛЮБИЧЕВО,"С.ЛЮБИЧЕВО, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/28.html#280200019
280200020,С.МАЛОГРАДЕЦ,"С.МАЛОГРАДЕЦ, МАГАЗИН РПК",https://evideo.bg/pe202410/28.html#280200020
280200021,С.МИЛИНО,"С.МИЛИНО, КМЕТСТВО",https://evideo.bg/pe202410/28.html#280200021
280200022,С.МОРАВИЦА,"С.МОРАВИЦА, КМЕТСТВО",https://evideo.bg/pe202410/28.html#280200022
280200023,С.МОРАВКА,"С.МОРАВКА, КМЕТСТВО",https://evideo.bg/pe202410/28.html#280200023
280200024,С.ОРАЧ,"С.ОРАЧ, МАГАЗИН РПК",https://evideo.bg/pe202410/28.html#280200024
280200025,С.РАВНО СЕЛО,"С.РАВНО СЕЛО, МЛАДЕЖКИ ДОМ",https://evideo.bg/pe202410/28.html#280200025
280200026,С.РАЗДЕЛЦИ,"С.РАЗДЕЛЦИ, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/28.html#280200026
280200027,С.СВИРЧОВО,"С.СВИРЧОВО, КМЕТСТВО",https://evideo.bg/pe202410/28.html#280200027
280200028,С.СВОБОДИЦА,"С.СВОБОДИЦА, КМЕТСТВО",https://evideo.bg/pe202410/28.html#280200028
280200029,С.СЕМЕРЦИ,"С.СЕМЕРЦИ, КМЕТСТВО",https://evideo.bg/pe202410/28.html#280200029
280200030,С.СТАРА РЕЧКА,"С.СТАРА РЕЧКА, МЛАДЕЖКИ ДОМ",https://evideo.bg/pe202410/28.html#280200030
280200031,С.СТАРЧИЩЕ,"С.СТАРЧИЩЕ, КМЕТСТВО",https://evideo.bg/pe202410/28.html#280200031
280200032,С.СТЕВРЕК,"С.СТЕВРЕК, КМЕТСТВО",https://evideo.bg/pe202410/28.html#280200032
280200033,С.СТОЙНОВО,"С.СТОЙНОВО, КМЕТСТВО",https://evideo.bg/pe202410/28.html#280200033
280200034,С.ТАЙМИЩЕ,"С.ТАЙМИЩЕ, МЛАДЕЖКИ ДОМ",https://evideo.bg/pe202410/28.html#280200034
280200035,С.ТРЕСКАВЕЦ,"С.ТРЕСКАВЕЦ, МЛАДЕЖКИ ДОМ",https://evideo.bg/pe202410/28.html#280200035
280200036,С.ЧЕКАНЦИ,"С.ЧЕКАНЦИ, КМЕТСТВО",https://evideo.bg/pe202410/28.html#280200036
280200037,С.ЧЕРНА ВОДА,"С.ЧЕРНА ВОДА, КМЕТСТВО",https://evideo.bg/pe202410/28.html#280200037
280200038,С.ЧЕРНИ БРЯГ,"С.ЧЕРНИ БРЯГ, КМЕТСТВО",https://evideo.bg/pe202410/28.html#280200038
280200039,С.ЯСТРЕБИНО,"С.ЯСТРЕБИНО, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/28.html#280200039
282200001,ГР.ОМУРТАГ,"ГР.ОМУРТАГ, ГИМНАЗИЯ ""С.ВЕЛЧЕВ""",https://evideo.bg/pe202410/28.html#282200001
282200002,ГР.ОМУРТАГ,"ГР.ОМУРТАГ, ГИМНАЗИЯ ""С.ВЕЛЧЕВ""",https://evideo.bg/pe202410/28.html#282200002
282200003,ГР.ОМУРТАГ,"ГР.ОМУРТАГ, ОУ ""АКАД. Д.ЙОРДАНОВ""",https://evideo.bg/pe202410/28.html#282200003
282200004,ГР.ОМУРТАГ,"ГР.ОМУРТАГ, ЧИТАЛИЩЕ ""ОТЕЦ ПАИСИЙ""",https://evideo.bg/pe202410/28.html#282200004
282200005,ГР.ОМУРТАГ,"ГР.ОМУРТАГ, I НАЧАЛНО УЧИЛИЩЕ",https://evideo.bg/pe202410/28.html#282200005
282200006,ГР.ОМУРТАГ,"ГР.ОМУРТАГ, ЧИТАЛИЩЕ ПЛ.""НЕЗАВИСИМОСТ"" /ПАРТЕРЕН ЕТАЖ/",https://evideo.bg/pe202410/28.html#282200006
282200007,ГР.ОМУРТАГ,"ГР.ОМУРТАГ, II НАЧАЛНО УЧИЛИЩЕ",https://evideo.bg/pe202410/28.html#282200007
282200008,ГР.ОМУРТАГ,"ГР.ОМУРТАГ, II НАЧАЛНО УЧИЛИЩЕ",https://evideo.bg/pe202410/28.html#282200008
282200009,ГР.ОМУРТАГ,"ГР.ОМУРТАГ, ЦДГ №3",https://evideo.bg/pe202410/28.html#282200009
282200010,ГР.ОМУРТАГ,"ГР.ОМУРТАГ, I НАЧАЛНО УЧИЛИЩЕ",https://evideo.bg/pe202410/28.html#282200010
282200011,ГР.ОМУРТАГ,"ГР.ОМУРТАГ, ЦДГ №3",https://evideo.bg/pe202410/28.html#282200011
282200012,С.БЕЛОМОРЦИ,"С.БЕЛОМОРЦИ, ЧИТАЛИЩЕ - РИТУАЛНА ЗАЛА",https://evideo.bg/pe202410/28.html#282200012
282200013,С.БЪЛГАРАНОВО,"С.БЪЛГАРАНОВО, КМЕТСТВО",https://evideo.bg/pe202410/28.html#282200013
282200014,С.ВЕЛИКДЕНЧЕ,"С.ВЕЛИКДЕНЧЕ, МЛАДЕЖКИ ДОМ/ЧИТАЛИЩЕ",https://evideo.bg/pe202410/28.html#282200014
282200015,С.ВЕЛИЧКА,"С.ВЕЛИЧКА, КМЕТСТВО",https://evideo.bg/pe202410/28.html#282200015
282200016,С.ВЕРЕНЦИ,"С.ВЕРЕНЦИ, КМЕТСТВО",https://evideo.bg/pe202410/28.html#282200016
282200017,С.ВЕСЕЛЕЦ,"С.ВЕСЕЛЕЦ, КМЕТСТВО",https://evideo.bg/pe202410/28.html#282200017
282200018,С.ВИСОК,"С.ВИСОК, КМЕТСТВО",https://evideo.bg/pe202410/28.html#282200018
282200019,С.ВРАНИ КОН,"С.ВРАНИ КОН, ОСНОВНО УЧИЛИЩЕ",https://evideo.bg/pe202410/28.html#282200019
282200020,С.ГОЛЯМО ЦЪРКВИЩЕ,"С.ГОЛЯМО ЦЪРКВИЩЕ, КМЕТСТВО",https://evideo.bg/pe202410/28.html#282200020
282200021,С.ГОРНА ХУБАВКА,"С.ГОРНА ХУБАВКА, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/28.html#282200021
282200022,С.ГОРНО КОЗАРЕВО,"С.ГОРНО КОЗАРЕВО, КМЕТСТВО - РИТУАЛНА ЗАЛА",https://evideo.bg/pe202410/28.html#282200022
282200023,С.ГОРНО НОВКОВО,"С.ГОРНО НОВКОВО, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/28.html#282200023
282200024,С.ГОРСКО СЕЛО,"С.ГОРСКО СЕЛО, КМЕТСТВО",https://evideo.bg/pe202410/28.html#282200024
282200025,С.ДОЛНА ХУБАВКА,"С.ДОЛНА ХУБАВКА, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/28.html#282200025
282200026,С.ДОЛНО КОЗАРЕВО,"С.ДОЛНО КОЗАРЕВО, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/28.html#282200026
282200027,С.ДОЛНО НОВКОВО,"С.ДОЛНО НОВКОВО, КМЕТСТВО",https://evideo.bg/pe202410/28.html#282200027
282200028,С.ЗВЕЗДИЦА,"С.ЗВЕЗДИЦА, КМЕТСТВО / РИТУАЛНА ЗАЛА",https://evideo.bg/pe202410/28.html#282200028
282200029,С.ЗЕЛЕНА МОРАВА,"С.ЗЕЛЕНА МОРАВА, ДЕТСКА ГРАДИНА",https://evideo.bg/pe202410/28.html#282200029
282200030,С.ЗМЕЙНО,"С.ЗМЕЙНО, ЗАЛАТА НА КМЕТСТВОТО",https://evideo.bg/pe202410/28.html#282200030
282200031,С.ИЛИЙНО,"С.ИЛИЙНО, КМЕТСТВО",https://evideo.bg/pe202410/28.html#282200031
282200032,С.КАМБУРОВО,"С.КАМБУРОВО, УЧИЛИЩЕ",https://evideo.bg/pe202410/28.html#282200032
282200033,С.КАМБУРОВО,"С.КАМБУРОВО, УЧИЛИЩЕ",https://evideo.bg/pe202410/28.html#282200033
282200034,С.КЕСТЕНОВО,"С.КЕСТЕНОВО, КМЕТСТВО",https://evideo.bg/pe202410/28.html#282200034
282200035,С.КОЗМА ПРЕЗВИТЕР,"С.КОЗМА ПРЕЗВИТЕР, ЧИТАЛИЩЕ /КМЕТСТВО",https://evideo.bg/pe202410/28.html#282200035
282200036,С.КРАСНОСЕЛЦИ,"С.КРАСНОСЕЛЦИ, РИТУАЛНА ЗАЛА",https://evideo.bg/pe202410/28.html#282200036
282200037,С.МОГИЛЕЦ,"С.МОГИЛЕЦ, КМЕТСТВО",https://evideo.bg/pe202410/28.html#282200037
282200038,С.ОБИТЕЛ,"С.ОБИТЕЛ, ЧИТАЛИЩЕ",https://evideo.bg/pe202410/28.html#282200038
282200039,С.ПАНАЙОТ ХИТОВО,"С.ПАНАЙОТ ХИТОВО, БИБЛИОТЕКА/ЧИТАЛИЩЕ",https://evideo.bg/pe202410/28.html#282200039
282200040,С.ПАНИЧИНО,"С.ПАНИЧИНО, КМЕТСТВО",https://evideo.bg/pe202410/28.html#282200040
282200041,С.ПЕТРИНО,"С.ПЕТРИНО, КМЕТСТВО",https://evideo.bg/pe202410/28.html#282200041
282200042,С.ПЛЪСТИНА,"С.ПЛЪСТИНА, КМЕТСТВО",https://evideo.bg/pe202410/28.html#282200042
282200043,С.ПТИЧЕВО,"С.ПТИЧЕВО, КМЕТСТВО - РИТУАЛНА ЗАЛА",https://evideo.bg/pe202410/28.html#282200043
282200044,С.ПЪДАРИНО,"С.ПЪДАРИНО, КМЕТСТВО - РИТУАЛНА ЗАЛА",https://evideo.bg/pe202410/28.html#282200044
282200045,С.ПЪРВАН,"С.ПЪРВАН, КМЕТСТВО /ЧИТАЛИЩЕ",https://evideo.bg/pe202410/28.html#282200045
282200046,С.РЪТЛИНА,"С.РЪТЛИНА, КМЕТСТВО",https://evideo.bg/pe202410/28.html#282200046
