id,town,address,video
300700001,С.БОРЦИ,"С.БОРЦИ, ЧИТАЛИЩЕ ПЛ."" ВЪЗРАЖДАНЕ "" №2",https://evideo.bg/pe202410/30.html#300700001
300700002,С.БОЯН,"С.БОЯН, КМЕТСТВО УЛ."" СТАРА ПЛАНИНА"" № 24",https://evideo.bg/pe202410/30.html#300700002
300700003,С.БУЙНОВИЦА,"С.БУЙНОВИЦА, ПДГ УЛ.""БЕЛИ ЛОМ """,https://evideo.bg/pe202410/30.html#300700003
300700004,С.ВЕНЕЦ,"С.ВЕНЕЦ, ЗАСЕДАТЕЛНА ЗАЛА УЛ.""КИРИЛ И МЕТОДИЙ ""№ 24",https://evideo.bg/pe202410/30.html#300700004
300700005,С.ГАБРИЦА,"С.ГАБРИЦА, РИТУАЛНА ЗАЛА УЛ.""МАРИЦА "" №20",https://evideo.bg/pe202410/30.html#300700005
300700006,С.ДЕННИЦА,"С.ДЕННИЦА, КМЕТСТВО УЛ."" ДРУЖБА "" №5",https://evideo.bg/pe202410/30.html#300700006
300700007,С.ДРЕНЦИ,"С.ДРЕНЦИ, КМЕТСТВО УЛ"" ЧЕРЕШИТЕ "" № 38",https://evideo.bg/pe202410/30.html#300700007
300700008,С.ИЗГРЕВ,"С.ИЗГРЕВ, КМЕТСТВО УЛ."" СВОБОДА "" №2",https://evideo.bg/pe202410/30.html#300700008
300700009,С.КАПИТАН ПЕТКО,"С.КАПИТАН ПЕТКО, РИТУАЛНА ЗАЛА УЛ.""ПОБЕДА"" №33",https://evideo.bg/pe202410/30.html#300700009
300700010,С.ОСЕНОВЕЦ,"С.ОСЕНОВЕЦ, КМЕТСТВО УЛ."" ДЪБРАВА "" №2",https://evideo.bg/pe202410/30.html#300700010
300700011,С.СТРАХИЛИЦА,"С.СТРАХИЛИЦА, КМЕТСТВО УЛ."" ДЕМОКРАЦИЯ "" №8",https://evideo.bg/pe202410/30.html#300700011
300700012,С.ЧЕРНОГЛАВЦИ,"С.ЧЕРНОГЛАВЦИ, РИТУАЛНА ЗАЛА УЛ."" СТАРА ПЛАНИНА "" № 35",https://evideo.bg/pe202410/30.html#300700012
300700013,С.ЯСЕНКОВО,"С.ЯСЕНКОВО, ОСНОВНО УЧИЛИЩЕ УЛ."" НАДЕЖДА "" №26",https://evideo.bg/pe202410/30.html#300700013
300700014,С.ЯСЕНКОВО,"С.ЯСЕНКОВО, ОСНОВОНО УЧИЛИЩЕ УЛ."" НАДЕЖДА "" №26",https://evideo.bg/pe202410/30.html#300700014
300700015,С.ЯСЕНКОВО,"С.ЯСЕНКОВО, ОСНОВНО УЧИЛИЩЕ УЛ."" НАДЕЖДА "" № 26",https://evideo.bg/pe202410/30.html#300700015
301000001,С.БОЖУРОВО,"С.БОЖУРОВО, КМЕТСТВО УЛ.""ГЕОРГИ ДИМИТРОВ "" № 14",https://evideo.bg/pe202410/30.html#301000001
