,town,address,video
310300001,ГР.БОЛЯРОВО,"ГР.БОЛЯРОВО, ПРОФСЪЮЗЕН ДОМ, ПЛ.""ДЕВЕТИ СЕПТЕМВРИ"" №3",https://evideo.bg/pe202410/31.html#310300001
310300002,ГР.БОЛЯРОВО,"ГР.БОЛЯРОВО, СУ""Д-Р П.БЕРОН"", УЛ.""ВАСИЛ ЛЕВСКИ""№8А",https://evideo.bg/pe202410/31.html#310300002
310300003,С.РУЖИЦА,"С.РУЖИЦА, КЛУБ НА СЪВЕТНИКА, УЛ.""ГЕО МИЛЕВ"" №1",https://evideo.bg/pe202410/31.html#310300003
310300004,С.ВЪЛЧИ ИЗВОР,"С.ВЪЛЧИ ИЗВОР, УЧИЛИЩЕ, УЛ.""ГЕОРГИ ДИМИТРОВ""№3",https://evideo.bg/pe202410/31.html#310300004
310300005,С.ГОРСКА ПОЛЯНА,"С.ГОРСКА ПОЛЯНА, МЛАДЕЖКИ КЛУБ, УЛ.""ДЕВЕТИ СЕПТЕМВРИ"" №1",https://evideo.bg/pe202410/31.html#310300005
310300006,С.ГОЛЯМО КРУШЕВО,"С.ГОЛЯМО КРУШЕВО, СЕЛСКИ КЛУБ, УЛ.""ПЕНЬО ПЕНЕВ"" №31",https://evideo.bg/pe202410/31.html#310300006
310300007,С.СТЕФАН КАРАДЖОВО,"С.СТЕФАН КАРАДЖОВО, ЧИТАЛИЩЕ, УЛ.""СТЕФАН КАРАДЖА"" №28",https://evideo.bg/pe202410/31.html#310300007
310300008,С.ДЕННИЦА,"С.ДЕННИЦА, ЧИТАЛИЩЕ, УЛ.""ЮРИЙ ГАГАРИН"" №7",https://evideo.bg/pe202410/31.html#310300008
310300009,С.ОМАН,"С.ОМАН, КЛУБ НА ПЕНСИОНЕРА, УЛ.""АТАНАС ПРЕМЯНОВ"" №1",https://evideo.bg/pe202410/31.html#310300009
310300010,С.КАМЕН ВРЪХ,"С.КАМЕН ВРЪХ, СЕЛСКИ КЛУБ, УЛ.""ПИРИН"" №25А",https://evideo.bg/pe202410/31.html#310300010
310300011,С.ДЪБОВО,"С.ДЪБОВО, АДМИНИСТРАТИВНА СГРАДА НА КМЕТСТВОТО, УЛ.""РИЛА"" №6",https://evideo.bg/pe202410/31.html#310300011
310300012,С.ПОПОВО,"С.ПОПОВО, КЛУБ НА ПЕНСИОНЕРА , УЛ.""ГЕОРГИ ДИМИТРОВ""№10А",https://evideo.bg/pe202410/31.html#310300012
310300013,С.ЗЛАТИНИЦА,"С.ЗЛАТИНИЦА, АДМИНИСТРАТИВНА СГРАДА НА КМЕТСТВОТО, УЛ.""Г.ДИМИТРОВ"" №16",https://evideo.bg/pe202410/31.html#310300013
310300014,С.МАМАРЧЕВО,"С.МАМАРЧЕВО, ЧИТАЛИЩЕ, УЛ.""ГЕОРГИ МАМАРЧЕВ""№1",https://evideo.bg/pe202410/31.html#310300014
310300015,С.МАЛКО ШАРКОВО,"С.МАЛКО ШАРКОВО, СЕЛСКИ КЛУБ, УЛ.""Д.БЛАГОЕВ"" №23",https://evideo.bg/pe202410/31.html#310300015
310300016,С.ШАРКОВО,"С.ШАРКОВО, КЛУБ НА ПЕНСИОНЕРА, УЛ.""АТАНАС АНГЕЛОВ"" №1",https://evideo.bg/pe202410/31.html#310300016
310300017,С.СИТОВО,"С.СИТОВО, СЕЛСКИ КЛУБ, УЛ.""БЯЛО МОРЕ"" №1 /ГЛАСУВАТ И ИЗБИРАТЕЛИ НА С. ИГЛИКА/",https://evideo.bg/pe202410/31.html#310300017
310300018,С.КРАЙНОВО,"С.КРАЙНОВО, УЧИЛИЩЕ, УЛ.""ПИРИН"" №25",https://evideo.bg/pe202410/31.html#310300018
310300019,С.ВОДЕН,"С.ВОДЕН, ФОАЙЕТО НА ЧИТАЛИЩЕ - УЛ. „Н. ПЕХЛИВАНОВ“ №69",https://evideo.bg/pe202410/31.html#310300019
310300020,С.СТРАНДЖА,"С.СТРАНДЖА, ЧИТАЛИЩЕ, УЛ.""КИРИЛ И МЕТОДИЙ"" №1",https://evideo.bg/pe202410/31.html#310300020
310700001,ГР.ЕЛХОВО,"ГР.ЕЛХОВО, ЧИТАЛИЩЕ ""РАЗВИТИЕ"", УЛ.""Г.С.РАКОВСКИ""№28",https://evideo.bg/pe202410/31.html#310700001
310700002,ГР.ЕЛХОВО,"ГР.ЕЛХОВО, КЛУБ, УЛ.""ХРИСТО БОТЕВ"" №""4",https://evideo.bg/pe202410/31.html#310700002
310700003,ГР.ЕЛХОВО,"ГР.ЕЛХОВО, ЧИТАЛИЩЕ ""РАЗВИТИЕ"", УЛ.""Г.С.РАКОВСКИ""№28",https://evideo.bg/pe202410/31.html#310700003
310700004,ГР.ЕЛХОВО,"ГР.ЕЛХОВО, ОУ""СВ.СВ.КИРИЛ И МЕТОДИЙ"", УЛ.""АЛ.СТАМБОЛИЙСКИ""№36",https://evideo.bg/pe202410/31.html#310700004
310700005,ГР.ЕЛХОВО,"ГР.ЕЛХОВО, КЛУБ НА ПЕНСИОНЕРА, УЛ.""ТЪРГОВСКА"" №61",https://evideo.bg/pe202410/31.html#310700005
310700006,ГР.ЕЛХОВО,"ГР.ЕЛХОВО, КЛУБ, УЛ.""АЛ.СТАМБОЛИЙСКИ""№66",https://evideo.bg/pe202410/31.html#310700006
310700007,ГР.ЕЛХОВО,"ГР.ЕЛХОВО, КЛУБ, УЛ. ""АНГЕЛ ВЪЛЕВ"" №56",https://evideo.bg/pe202410/31.html#310700007
310700008,ГР.ЕЛХОВО,"ГР.ЕЛХОВО, ОУ"" СВ. ПАИСИЙ ХИЛЕНДАРСКИ"" , УЛ.""АСЕН ЗЛАТАРОВ""№15",https://evideo.bg/pe202410/31.html#310700008
310700009,ГР.ЕЛХОВО,"ГР.ЕЛХОВО, ОУ"" СВ. ПАИСИЙ ХИЛЕНДАРСКИ "", УЛ.""АСЕН ЗЛАТАРОВ""№15",https://evideo.bg/pe202410/31.html#310700009
310700010,ГР.ЕЛХОВО,"ГР.ЕЛХОВО, ОУ"" СВ. ПАИСИЙ ХИЛЕНДАРСКИ"" , УЛ.""АСЕН ЗЛАТАРОВ""№15",https://evideo.bg/pe202410/31.html#310700010
310700011,ГР.ЕЛХОВО,"ГР.ЕЛХОВО, КЛУБ, УЛ.""МАРИЦА""№14",https://evideo.bg/pe202410/31.html#310700011
